Time	accX	accY	accZ	spinSpeed
2025-03-19 15:16:36.452	41.000	1003.000	6.000	500.000
2025-03-19 15:16:36.452	40.000	1003.000	7.000	500.000
2025-03-19 15:16:36.452	38.000	1001.000	6.000	500.000
2025-03-19 15:16:36.453	39.000	1000.000	5.000	500.000
2025-03-19 15:16:36.453	40.000	999.000	7.000	500.000
2025-03-19 15:16:36.453	40.000	1000.000	8.000	500.000
2025-03-19 15:16:36.453	40.000	1000.000	8.000	500.000
2025-03-19 15:16:36.454	40.000	1002.000	8.000	500.000
2025-03-19 15:16:36.454	40.000	1002.000	7.000	500.000
2025-03-19 15:16:36.454	40.000	1002.000	7.000	500.000
2025-03-19 15:16:36.454	40.000	1003.000	6.000	500.000
2025-03-19 15:16:36.454	40.000	1003.000	6.000	500.000
2025-03-19 15:16:36.455	40.000	1000.000	6.000	500.000
2025-03-19 15:16:36.455	37.000	1000.000	6.000	500.000
2025-03-19 15:16:36.455	37.000	1000.000	6.000	500.000
2025-03-19 15:16:36.455	37.000	999.000	6.000	500.000
2025-03-19 15:16:36.456	40.000	999.000	5.000	500.000
2025-03-19 15:16:36.456	39.000	998.000	4.000	500.000
2025-03-19 15:16:36.456	39.000	998.000	4.000	500.000
2025-03-19 15:16:36.456	41.000	998.000	6.000	500.000
2025-03-19 15:16:36.456	43.000	998.000	7.000	500.000
2025-03-19 15:16:36.457	43.000	998.000	7.000	500.000
2025-03-19 15:16:36.457	41.000	997.000	7.000	500.000
2025-03-19 15:16:36.457	40.000	997.000	7.000	500.000
2025-03-19 15:16:36.457	40.000	1001.000	6.000	500.000
2025-03-19 15:16:36.458	40.000	1001.000	6.000	500.000
2025-03-19 15:16:36.458	40.000	999.000	7.000	500.000
2025-03-19 15:16:36.458	40.000	997.000	9.000	500.000
2025-03-19 15:16:36.459	40.000	997.000	9.000	500.000
2025-03-19 15:16:36.459	40.000	998.000	10.000	500.000
2025-03-19 15:16:36.459	40.000	998.000	8.000	500.000
2025-03-19 15:16:36.459	39.000	998.000	7.000	500.000
2025-03-19 15:16:36.460	40.000	998.000	8.000	500.000
2025-03-19 15:16:36.460	38.000	998.000	7.000	500.000
2025-03-19 15:16:36.460	36.000	998.000	7.000	500.000
2025-03-19 15:16:36.460	36.000	1000.000	7.000	500.000
2025-03-19 15:16:36.461	36.000	1000.000	7.000	500.000
2025-03-19 15:16:36.461	38.000	1001.000	7.000	500.000
2025-03-19 15:16:36.461	38.000	1000.000	7.000	500.000
2025-03-19 15:16:36.461	40.000	1001.000	8.000	500.000
2025-03-19 15:16:36.462	42.000	1001.000	5.000	500.000
2025-03-19 15:16:36.462	42.000	1000.000	4.000	500.000
2025-03-19 15:16:36.462	42.000	1000.000	3.000	500.000
2025-03-19 15:16:36.462	42.000	1000.000	3.000	500.000
2025-03-19 15:16:36.463	42.000	1001.000	2.000	500.000
2025-03-19 15:16:36.463	41.000	1000.000	3.000	500.000
2025-03-19 15:16:36.463	41.000	1000.000	6.000	500.000
