Time	accX	accY	accZ	spinSpeed
2025-03-19 12:49:48.887	NaN	NaN	NaN	1500.000
2025-03-19 12:49:48.932	NaN	NaN	NaN	1500.000
2025-03-19 12:49:48.993	NaN	NaN	NaN	1500.000
2025-03-19 12:49:49.086	NaN	NaN	NaN	1500.000
2025-03-19 12:49:49.192	NaN	NaN	NaN	1500.000
2025-03-19 12:49:49.290	NaN	NaN	NaN	1500.000
2025-03-19 12:49:49.380	NaN	NaN	NaN	1500.000
2025-03-19 12:49:49.495	NaN	NaN	NaN	1500.000
2025-03-19 12:49:49.585	NaN	NaN	NaN	1500.000
2025-03-19 12:49:49.677	NaN	NaN	NaN	1500.000
2025-03-19 12:49:49.788	NaN	NaN	NaN	1500.000
2025-03-19 12:49:49.876	NaN	NaN	NaN	1500.000
2025-03-19 12:49:49.990	NaN	NaN	NaN	1500.000
2025-03-19 12:49:50.080	NaN	NaN	NaN	1500.000
2025-03-19 12:49:50.179	NaN	NaN	NaN	1500.000
2025-03-19 12:49:50.283	NaN	NaN	NaN	1500.000
2025-03-19 12:49:50.383	NaN	NaN	NaN	1500.000
2025-03-19 12:49:50.486	NaN	NaN	NaN	1500.000
2025-03-19 12:49:50.590	NaN	NaN	NaN	1500.000
2025-03-19 12:49:50.680	NaN	NaN	NaN	1500.000
2025-03-19 12:49:50.792	NaN	NaN	NaN	1500.000
2025-03-19 12:49:50.881	NaN	NaN	NaN	1500.000
2025-03-19 12:49:50.973	NaN	NaN	NaN	1500.000
2025-03-19 12:49:51.085	NaN	NaN	NaN	1500.000
2025-03-19 12:49:51.175	NaN	NaN	NaN	1500.000
2025-03-19 12:49:51.289	NaN	NaN	NaN	1500.000
2025-03-19 12:49:51.378	NaN	NaN	NaN	1500.000
2025-03-19 12:49:51.477	NaN	NaN	NaN	1500.000
2025-03-19 12:49:51.581	NaN	NaN	NaN	1500.000
