Time	accX	accY	accZ	spinSpeed
2025-03-19 15:03:35.557	41.000	1002.000	7.000	NaN
2025-03-19 15:03:35.558	40.000	1001.000	6.000	NaN
2025-03-19 15:03:35.558	40.000	1001.000	6.000	NaN
2025-03-19 15:03:35.558	41.000	1000.000	6.000	NaN
2025-03-19 15:03:35.558	40.000	1002.000	7.000	NaN
2025-03-19 15:03:35.558	40.000	1004.000	8.000	NaN
2025-03-19 15:03:35.559	40.000	1004.000	7.000	NaN
2025-03-19 15:03:35.559	41.000	1002.000	7.000	NaN
2025-03-19 15:03:35.559	41.000	1002.000	7.000	NaN
2025-03-19 15:03:35.559	42.000	1003.000	4.000	NaN
2025-03-19 15:03:35.559	42.000	1003.000	4.000	NaN
2025-03-19 15:03:35.559	43.000	1002.000	4.000	NaN
2025-03-19 15:03:35.560	43.000	1001.000	4.000	NaN
2025-03-19 15:03:35.560	44.000	1001.000	3.000	NaN
2025-03-19 15:03:35.560	43.000	1002.000	4.000	NaN
2025-03-19 15:03:35.560	41.000	1000.000	6.000	NaN
2025-03-19 15:03:35.560	40.000	999.000	6.000	NaN
2025-03-19 15:03:35.561	40.000	999.000	6.000	NaN
2025-03-19 15:03:35.561	40.000	1001.000	5.000	NaN
2025-03-19 15:03:35.561	39.000	1003.000	4.000	NaN
2025-03-19 15:03:35.561	40.000	1000.000	6.000	NaN
2025-03-19 15:03:35.561	40.000	999.000	8.000	NaN
2025-03-19 15:03:35.561	39.000	1000.000	8.000	NaN
2025-03-19 15:03:35.562	39.000	1000.000	8.000	NaN
2025-03-19 15:03:35.562	40.000	1000.000	8.000	NaN
2025-03-19 15:03:35.562	40.000	1000.000	7.000	NaN
2025-03-19 15:03:35.562	40.000	1000.000	5.000	NaN
2025-03-19 15:03:35.562	40.000	999.000	5.000	NaN
2025-03-19 15:03:35.562	39.000	999.000	5.000	NaN
2025-03-19 15:03:35.563	38.000	1002.000	4.000	NaN
2025-03-19 15:03:35.563	36.000	1004.000	6.000	NaN
2025-03-19 15:03:35.563	37.000	1005.000	7.000	NaN
2025-03-19 15:03:35.563	37.000	1005.000	7.000	NaN
2025-03-19 15:03:35.563	39.000	1005.000	8.000	NaN
2025-03-19 15:03:35.564	38.000	1004.000	9.000	NaN
2025-03-19 15:03:35.564	38.000	1003.000	10.000	NaN
2025-03-19 15:03:35.564	37.000	1001.000	9.000	NaN
2025-03-19 15:03:35.564	39.000	998.000	7.000	NaN
2025-03-19 15:03:35.564	40.000	997.000	6.000	NaN
2025-03-19 15:03:35.564	40.000	997.000	6.000	NaN
2025-03-19 15:03:35.565	39.000	1000.000	5.000	NaN
2025-03-19 15:03:35.565	39.000	1003.000	5.000	NaN
2025-03-19 15:03:35.565	40.000	1002.000	4.000	NaN
2025-03-19 15:03:35.565	39.000	1002.000	4.000	NaN
2025-03-19 15:03:35.565	37.000	1001.000	6.000	NaN
2025-03-19 15:03:35.566	36.000	999.000	6.000	NaN
2025-03-19 15:03:35.566	36.000	998.000	6.000	NaN
2025-03-19 15:03:35.566	36.000	998.000	6.000	NaN
2025-03-19 15:03:35.566	39.000	998.000	5.000	NaN
2025-03-19 15:03:35.566	40.000	1000.000	3.000	NaN
