Time	accX	accY	accZ	spinSpeed
2025-03-19 16:00:47.499	39.000	1007.000	9.000	500.000
2025-03-19 16:00:47.500	38.000	1006.000	10.000	500.000
2025-03-19 16:00:47.500	37.000	1006.000	10.000	500.000
2025-03-19 16:00:47.500	38.000	1005.000	11.000	500.000
2025-03-19 16:00:47.501	41.000	1007.000	11.000	500.000
2025-03-19 16:00:47.501	43.000	1009.000	9.000	500.000
2025-03-19 16:00:47.501	43.000	1009.000	9.000	500.000
2025-03-19 16:00:47.502	43.000	1007.000	6.000	500.000
2025-03-19 16:00:47.502	44.000	1005.000	5.000	500.000
2025-03-19 16:00:47.502	43.000	1004.000	4.000	500.000
2025-03-19 16:00:47.503	41.000	1002.000	4.000	500.000
2025-03-19 16:00:47.503	40.000	1002.000	5.000	500.000
2025-03-19 16:00:47.503	40.000	1003.000	7.000	500.000
2025-03-19 16:00:47.504	40.000	1002.000	8.000	500.000
2025-03-19 16:00:47.513	40.000	1002.000	8.000	500.000
2025-03-19 16:00:47.513	41.000	1001.000	7.000	500.000
2025-03-19 16:00:47.514	42.000	1003.000	5.000	500.000
2025-03-19 16:00:47.514	41.000	1005.000	3.000	500.000
2025-03-19 16:00:47.514	40.000	1005.000	4.000	500.000
2025-03-19 16:00:47.515	41.000	1003.000	5.000	500.000
2025-03-19 16:00:47.515	41.000	1002.000	7.000	500.000
2025-03-19 16:00:47.515	43.000	1002.000	7.000	500.000
2025-03-19 16:00:47.515	43.000	1002.000	7.000	500.000
2025-03-19 16:00:47.515	43.000	1005.000	6.000	500.000
2025-03-19 16:00:47.516	43.000	1003.000	6.000	500.000
2025-03-19 16:00:47.516	42.000	1002.000	5.000	500.000
2025-03-19 16:00:47.516	42.000	1003.000	4.000	500.000
2025-03-19 16:00:47.516	41.000	1003.000	2.000	500.000
2025-03-19 16:00:47.517	40.000	1003.000	0.000	500.000
2025-03-19 16:00:47.517	40.000	1004.000	1.000	500.000
2025-03-19 16:00:47.517	40.000	1004.000	1.000	500.000
2025-03-19 16:00:47.517	41.000	1003.000	1.000	500.000
2025-03-19 16:00:47.518	40.000	1003.000	1.000	500.000
2025-03-19 16:00:47.518	40.000	1003.000	0.000	500.000
2025-03-19 16:00:47.518	40.000	1003.000	0.000	500.000
2025-03-19 16:00:47.518	41.000	1002.000	0.000	500.000
2025-03-19 16:00:47.519	41.000	1002.000	0.000	500.000
2025-03-19 16:00:47.519	41.000	1002.000	0.000	500.000
2025-03-19 16:00:47.519	43.000	1003.000	0.000	500.000
2025-03-19 16:00:47.519	43.000	1002.000	0.000	500.000
2025-03-19 16:00:47.520	42.000	1002.000	1.000	500.000
2025-03-19 16:00:47.520	41.000	1002.000	2.000	500.000
2025-03-19 16:00:47.520	41.000	1000.000	4.000	500.000
2025-03-19 16:00:47.521	41.000	1001.000	5.000	500.000
