Resolution	1.5625 Hz			
Span	1250 Hz			
Bandwidth	1600 Hz			
Sample frequency	3200 Hz			
Frequency resolution	1.5625 Hz			
X axis increment	1.5625 Hz			
X axis	0-1600 Hz			
X axis quantity	Frequency			
X axis unit	Hz			
Number of lines	1025			
Value type	Complex			
Y axis quantity	AccelerationOverForce			
Y axis unit	g/N			
Reference actual sensitivity	0.23 mV/N			
Reference transducer sn				
Reference transducer id				
Reference user comment				
Reference user channel id				
Reference channel id	6			
Reference DOF id	test:2:-Y			
Reference point direction sign	-			
Reference point direction absolute	Y			
Reference point direction	-Y			
Reference point id node	2			
Reference point id component	test			
Reference point id	test:2			
Position ID	P3			
HW Range	10 V			
User Range	10 V			
PhysicalChannelId	Input3			
Channel group	Group 1			
Channelgroup	Vibration			
Measured quantity	Acceleration			
Polarity	+			
Offset EU	0 g			
Actual sensitivity	10 mV/g			
Transducer sn				
Transducer id				
Cylinder offset	0 бу			
User channel ID 3				
User comment				
User channel id				
Channel id	5			
Channel name	C3			
Driving point	0			
DOF id	test:4:-Z			
Point direction sign	-			
Point direction absolute	Z			
Point direction	-Z			
Point id node	4			
Point id component	test			
Point id	test:4			
Overload	0			
Original run	Run 2			
Original section	EXP06_ap8			
Original project	0718impact_test			
Original project dir	E:\EXP\EXP06\0718impact_test.lms			
FRF scaling	GlobalScaling			
FRF estimation method	H1			
Average parameter	0.5			
Average type	Linear average			
Number of averages	5			
Reference number of windows	2			
Reference window type	Force*Exponential			
Reference window exponent	100 %			
Reference window width	3.4668 %			
Reference window correction mode	amplitude			
Lower Limit EU	-1000 g			
Upper Limit EU	1000 g			
Window type	Exponential			
Window exponent	100 %			
Window correction mode	amplitude			
Function class	FRF			
Weighting	Linear			
Modified	Thu Apr 03 2025 14:37:14			
Created	Thu Apr 03 2025 14:37:14			
          0.000000000e+00	          1.191510644e-03	          0.000000000e+00		
          1.562500000e+00	          1.000921663e-02	         -4.396785399e-03		
          3.125000000e+00	          6.788401903e-03	         -3.357883488e-03		
          4.687500000e+00	          6.866917278e-03	         -2.336228042e-03		
          6.250000000e+00	          6.838902339e-03	         -1.966524894e-03		
          7.812500000e+00	          6.764592168e-03	         -1.905017423e-03		
          9.375000000e+00	          6.534971316e-03	         -2.791611366e-03		
          1.093750000e+01	          5.787728601e-03	         -2.912709085e-03		
          1.250000000e+01	          6.961269596e-03	         -2.400997870e-03		
          1.406250000e+01	          7.925017256e-03	         -2.789420443e-03		
          1.562500000e+01	          9.843846134e-03	         -4.726585834e-03		
          1.718750000e+01	          1.619459229e-02	         -6.340924514e-03		
          1.875000000e+01	         -6.455778246e-03	         -6.360775964e-03		
          2.031250000e+01	          8.350391683e-04	         -3.918296245e-03		
          2.187500000e+01	          1.846747237e-03	         -3.655242692e-03		
          2.343750000e+01	          2.802147358e-03	         -3.689128583e-03		
          2.500000000e+01	          3.020158504e-03	         -3.499213670e-03		
          2.656250000e+01	          3.325177486e-03	         -3.685092043e-03		
          2.812500000e+01	          3.435887553e-03	         -3.930789538e-03		
          2.968750000e+01	          3.516400305e-03	         -3.954589017e-03		
          3.125000000e+01	          3.337917696e-03	         -4.093821535e-03		
          3.281250000e+01	          3.606321393e-03	         -3.984550431e-03		
          3.437500000e+01	          3.598780137e-03	         -4.259611797e-03		
          3.593750000e+01	          3.554106967e-03	         -3.930799795e-03		
          3.750000000e+01	          3.590268682e-03	         -4.209162645e-03		
          3.906250000e+01	          3.630446804e-03	         -4.070898045e-03		
          4.062500000e+01	          3.834359690e-03	         -3.863999730e-03		
          4.218750000e+01	          3.822855589e-03	         -3.983464751e-03		
          4.375000000e+01	          3.916755857e-03	         -4.012014553e-03		
          4.531250000e+01	          4.096853689e-03	         -4.070515512e-03		
          4.687500000e+01	          4.192311059e-03	         -4.064566687e-03		
          4.843750000e+01	          4.624871940e-03	         -3.859598132e-03		
          5.000000000e+01	          4.845170687e-03	         -4.024448586e-03		
          5.156250000e+01	          5.084217349e-03	         -4.073062947e-03		
          5.312500000e+01	          5.254716148e-03	         -3.945892184e-03		
          5.468750000e+01	          5.493480564e-03	         -4.001591194e-03		
          5.625000000e+01	          5.828314328e-03	         -3.991869461e-03		
          5.781250000e+01	          6.208410446e-03	         -4.023666425e-03		
          5.937500000e+01	          7.052098963e-03	         -4.040862177e-03		
          6.093750000e+01	          7.308800264e-03	         -4.248951016e-03		
          6.250000000e+01	          7.957137113e-03	         -4.612087284e-03		
          6.406250000e+01	          8.594672627e-03	         -4.936100720e-03		
          6.562500000e+01	          9.181248819e-03	         -5.387506385e-03		
          6.718750000e+01	          9.594389027e-03	         -6.223598184e-03		
          6.875000000e+01	          1.007782338e-02	         -7.141108734e-03		
          7.031250000e+01	          9.869334152e-03	         -7.351014130e-03		
          7.187500000e+01	          1.101879988e-02	         -7.931668848e-03		
          7.343750000e+01	          1.176865195e-02	         -8.571391676e-03		
          7.500000000e+01	          1.261402179e-02	         -9.931617516e-03		
          7.656250000e+01	          1.259706194e-02	         -1.194352689e-02		
          7.812500000e+01	          1.247456932e-02	         -1.355661275e-02		
          7.968750000e+01	          1.135118574e-02	         -1.578901309e-02		
          8.125000000e+01	          9.415873370e-03	         -1.570594227e-02		
          8.281250000e+01	          9.331678880e-03	         -1.579023476e-02		
          8.437500000e+01	          1.142935846e-02	         -1.764661921e-02		
          8.593750000e+01	          7.187517167e-03	         -1.902443549e-02		
          8.750000000e+01	          5.432685547e-03	         -1.952711046e-02		
          8.906250000e+01	          5.371597741e-04	         -2.018077618e-02		
          9.062500000e+01	          2.297907266e-04	         -1.524998571e-02		
          9.218750000e+01	          1.106542636e-03	         -1.504240438e-02		
          9.375000000e+01	          2.946130960e-03	         -1.547574933e-02		
          9.531250000e+01	          1.233718717e-03	         -1.622044043e-02		
          9.687500000e+01	         -1.047355150e-03	         -1.673280521e-02		
          9.843750000e+01	         -3.379287862e-03	         -1.382652986e-02		
          1.000000000e+02	         -3.090980483e-03	         -9.150781414e-03		
          1.015625000e+02	          3.662584753e-04	         -7.816003326e-03		
          1.031250000e+02	          2.391414221e-03	         -7.948558041e-03		
          1.046875000e+02	          3.721085474e-03	         -8.539884176e-03		
          1.062500000e+02	          4.774718135e-03	         -8.932650987e-03		
          1.078125000e+02	          5.406612902e-03	         -9.398425762e-03		
          1.093750000e+02	          5.997098756e-03	         -9.902147659e-03		
          1.109375000e+02	          6.747505440e-03	         -1.037411362e-02		
          1.125000000e+02	          7.090322633e-03	         -1.111482896e-02		
          1.140625000e+02	          7.417267936e-03	         -1.151740108e-02		
          1.156250000e+02	          7.475283796e-03	         -1.190001690e-02		
          1.171875000e+02	          7.773692212e-03	         -1.243211385e-02		
          1.187500000e+02	          8.088788488e-03	         -1.281841901e-02		
          1.203125000e+02	          7.963643593e-03	         -1.330690948e-02		
          1.218750000e+02	          8.019055798e-03	         -1.323827235e-02		
          1.234375000e+02	          8.476205156e-03	         -1.351966014e-02		
          1.250000000e+02	          8.968214021e-03	         -1.394591359e-02		
          1.265625000e+02	          9.336597487e-03	         -1.462577693e-02		
          1.281250000e+02	          9.545063922e-03	         -1.539469791e-02		
          1.296875000e+02	          9.917937497e-03	         -1.615088096e-02		
          1.312500000e+02	          9.990667393e-03	         -1.713035084e-02		
          1.328125000e+02	          9.851583405e-03	         -1.826457679e-02		
          1.343750000e+02	          9.310548015e-03	         -1.921320698e-02		
