Resolution	1.5625 Hz			
Span	1250 Hz			
Bandwidth	1600 Hz			
Sample frequency	3200 Hz			
Frequency resolution	1.5625 Hz			
X axis increment	1.5625 Hz			
X axis	0-1600 Hz			
X axis quantity	Frequency			
X axis unit	Hz			
Number of lines	1025			
Value type	Complex			
Y axis quantity	AccelerationOverForce			
Y axis unit	g/N			
Reference actual sensitivity	0.23 mV/N			
Reference transducer sn				
Reference transducer id				
Reference user comment				
Reference user channel id				
Reference channel id	6			
Reference DOF id	test:2:-Y			
Reference point direction sign	-			
Reference point direction absolute	Y			
Reference point direction	-Y			
Reference point id node	2			
Reference point id component	test			
Reference point id	test:2			
Position ID	P1			
HW Range	10 V			
User Range	10 V			
PhysicalChannelId	Input1			
Channel group	Group 1			
Channelgroup	Vibration			
Measured quantity	Acceleration			
Polarity	+			
Offset EU	0 g			
Actual sensitivity	10 mV/g			
Transducer sn				
Transducer id				
Cylinder offset	0 бу			
User channel ID 3				
User comment				
User channel id				
Channel id	3			
Channel name	C1			
Driving point	0			
DOF id	test:4:-X			
Point direction sign	-			
Point direction absolute	X			
Point direction	-X			
Point id node	4			
Point id component	test			
Point id	test:4			
Overload	0			
Original run	Run 2			
Original section	EXP06_ap8			
Original project	0718impact_test			
Original project dir	E:\EXP\EXP06\0718impact_test.lms			
FRF scaling	GlobalScaling			
FRF estimation method	H1			
Average parameter	0.5			
Average type	Linear average			
Number of averages	5			
Reference number of windows	2			
Reference window type	Force*Exponential			
Reference window exponent	100 %			
Reference window width	3.4668 %			
Reference window correction mode	amplitude			
Lower Limit EU	-1000 g			
Upper Limit EU	1000 g			
Window type	Exponential			
Window exponent	100 %			
Window correction mode	amplitude			
Function class	FRF			
Weighting	Linear			
Modified	Thu Apr 03 2025 14:37:14			
Created	Thu Apr 03 2025 14:37:14			
          0.000000000e+00	         -2.415698002e-02	          0.000000000e+00		
          1.562500000e+00	          2.370602564e-02	          5.981898482e-03		
          3.125000000e+00	          1.465358522e-02	         -2.788781306e-03		
          4.687500000e+00	          1.109695133e-02	         -2.851828026e-03		
          6.250000000e+00	          1.051562956e-02	         -2.465790490e-03		
          7.812500000e+00	          1.008626874e-02	         -2.466715673e-03		
          9.375000000e+00	          9.485536923e-03	         -1.906110700e-03		
          1.093750000e+01	          9.637085333e-03	         -3.344282483e-03		
          1.250000000e+01	          9.254600188e-03	         -2.346353960e-03		
          1.406250000e+01	          8.541342892e-03	         -2.331146659e-03		
          1.562500000e+01	          8.753114229e-03	         -1.843704447e-03		
          1.718750000e+01	          8.245959791e-03	         -2.499537917e-03		
          1.875000000e+01	          1.103702015e-02	         -2.637070120e-03		
          2.031250000e+01	          1.005340509e-02	         -3.285808115e-03		
          2.187500000e+01	          9.445521007e-03	         -3.620864485e-03		
          2.343750000e+01	          8.734325666e-03	         -3.819337197e-03		
          2.500000000e+01	          8.693156453e-03	         -3.947523363e-03		
          2.656250000e+01	          8.225258184e-03	         -4.014573004e-03		
          2.812500000e+01	          8.155038495e-03	         -4.111049576e-03		
          2.968750000e+01	          7.820638547e-03	         -4.420889157e-03		
          3.125000000e+01	          7.319611475e-03	         -4.354229267e-03		
          3.281250000e+01	          6.899653291e-03	         -4.441784881e-03		
          3.437500000e+01	          6.832628341e-03	         -4.423073052e-03		
          3.593750000e+01	          6.538650774e-03	         -4.444827290e-03		
          3.750000000e+01	          6.427311256e-03	         -4.732958218e-03		
          3.906250000e+01	          6.155761444e-03	         -4.571509915e-03		
          4.062500000e+01	          5.651467077e-03	         -4.592870604e-03		
          4.218750000e+01	          5.518172747e-03	         -4.568872451e-03		
          4.375000000e+01	          5.245726432e-03	         -4.512630222e-03		
          4.531250000e+01	          5.124734319e-03	         -4.528870970e-03		
          4.687500000e+01	          4.922579489e-03	         -4.546232347e-03		
          4.843750000e+01	          4.596950070e-03	         -4.747884223e-03		
          5.000000000e+01	          4.288615169e-03	         -4.625947743e-03		
          5.156250000e+01	          3.974652437e-03	         -4.471334511e-03		
          5.312500000e+01	          3.837645599e-03	         -4.707349780e-03		
          5.468750000e+01	          3.240480043e-03	         -4.604076124e-03		
          5.625000000e+01	          2.650899999e-03	         -4.452058950e-03		
          5.781250000e+01	          1.724330976e-03	         -3.190807733e-03		
          5.937500000e+01	          3.342245220e-03	         -2.234303888e-03		
          6.093750000e+01	          3.641508352e-03	         -3.056688887e-03		
          6.250000000e+01	          3.220674938e-03	         -3.195013697e-03		
          6.406250000e+01	          3.131020141e-03	         -3.152945322e-03		
          6.562500000e+01	          2.884029746e-03	         -3.017342879e-03		
          6.718750000e+01	          2.691330737e-03	         -2.860186961e-03		
          6.875000000e+01	          2.553376684e-03	         -2.760685833e-03		
          7.031250000e+01	          2.671046421e-03	         -2.629534561e-03		
          7.187500000e+01	          2.382041403e-03	         -2.651549583e-03		
          7.343750000e+01	          2.251240945e-03	         -2.479616570e-03		
          7.500000000e+01	          2.067539250e-03	         -2.124843606e-03		
          7.656250000e+01	          2.103402194e-03	         -1.780167310e-03		
          7.812500000e+01	          1.981039875e-03	         -1.281945037e-03		
          7.968750000e+01	          2.343263686e-03	         -6.995738593e-04		
          8.125000000e+01	          3.029326571e-03	         -8.688317050e-04		
          8.281250000e+01	          3.164214661e-03	         -1.036513834e-03		
          8.437500000e+01	          2.689162037e-03	         -1.233060490e-03		
          8.593750000e+01	          3.383548908e-03	         -9.233752329e-04		
          8.750000000e+01	          3.477337872e-03	         -9.555239604e-04		
          8.906250000e+01	          4.172933692e-03	         -8.136257720e-04		
          9.062500000e+01	          4.446240042e-03	         -1.593610482e-03		
          9.218750000e+01	          4.114770821e-03	         -1.670607121e-03		
          9.375000000e+01	          3.726332672e-03	         -2.031995779e-03		
          9.531250000e+01	          3.758837342e-03	         -2.012608725e-03		
          9.687500000e+01	          3.606352543e-03	         -2.163061958e-03		
          9.843750000e+01	          3.384094787e-03	         -2.332224931e-03		
          1.000000000e+02	          3.179317118e-03	         -2.249530373e-03		
          1.015625000e+02	          3.101110390e-03	         -2.390968249e-03		
          1.031250000e+02	          2.920164110e-03	         -2.318378337e-03		
          1.046875000e+02	          2.815167156e-03	         -2.256267627e-03		
          1.062500000e+02	          2.692418696e-03	         -2.193372286e-03		
          1.078125000e+02	          2.654944516e-03	         -2.132445262e-03		
          1.093750000e+02	          2.414371140e-03	         -2.234421079e-03		
          1.109375000e+02	          2.395220748e-03	         -2.068859691e-03		
          1.125000000e+02	          2.402481277e-03	         -2.152648855e-03		
          1.140625000e+02	          2.333470347e-03	         -2.063042492e-03		
          1.156250000e+02	          2.166445305e-03	         -2.063840607e-03		
          1.171875000e+02	          2.018847394e-03	         -1.981094007e-03		
          1.187500000e+02	          1.949920606e-03	         -2.081464477e-03		
          1.203125000e+02	          1.752008208e-03	         -2.099445048e-03		
          1.218750000e+02	          1.527929241e-03	         -1.960135225e-03		
          1.234375000e+02	          1.349507413e-03	         -1.824060218e-03		
          1.250000000e+02	          1.418129827e-03	         -1.735538775e-03		
          1.265625000e+02	          1.390902176e-03	         -1.622250884e-03		
          1.281250000e+02	          1.307522326e-03	         -1.470758696e-03		
          1.296875000e+02	          1.190403976e-03	         -1.348945579e-03		
          1.312500000e+02	          1.149413779e-03	         -1.409570508e-03		
          1.328125000e+02	          1.074962960e-03	         -1.385696004e-03		
          1.343750000e+02	          1.039633358e-03	         -1.164996111e-03		
