          9.062500000e+01	          9.775269922e-05	         -1.399511353e-03		
          9.218750000e+01	         -6.448276211e-04	         -1.956897180e-03		
          9.375000000e+01	         -1.306765047e-03	         -2.571082226e-03		
          9.531250000e+01	         -2.365027611e-03	         -2.838593409e-03		
          9.687500000e+01	         -3.927876285e-03	         -2.435457750e-03		
          9.843750000e+01	         -4.489448417e-03	         -1.296961357e-03		
          1.000000000e+02	         -4.288116015e-03	         -3.566188191e-04		
          1.015625000e+02	         -3.990754151e-03	         -2.200980068e-04		
          1.031250000e+02	         -4.006503343e-03	         -1.309534993e-04		
          1.046875000e+02	         -4.087403566e-03	         -5.611226466e-05		
          1.062500000e+02	         -4.146691244e-03	          3.801735764e-05		
          1.078125000e+02	         -4.438142270e-03	          1.633178289e-04		
          1.093750000e+02	         -4.521305782e-03	          2.582121551e-04		
          1.109375000e+02	         -4.768002345e-03	          5.077513145e-04		
          1.125000000e+02	         -4.965051669e-03	          7.192835212e-04		
          1.140625000e+02	         -5.071236299e-03	          9.832040413e-04		
          1.156250000e+02	         -5.113632124e-03	          1.230362246e-03		
          1.171875000e+02	         -5.179820591e-03	          1.509866998e-03		
          1.187500000e+02	         -5.114712486e-03	          1.762012187e-03		
          1.203125000e+02	         -4.924368315e-03	          1.882873054e-03		
          1.218750000e+02	         -4.728099251e-03	          1.809275147e-03		
          1.234375000e+02	         -4.983499105e-03	          1.554530291e-03		
          1.250000000e+02	         -5.334690619e-03	          1.539066954e-03		
          1.265625000e+02	         -5.596437025e-03	          1.693028987e-03		
          1.281250000e+02	         -5.855371226e-03	          1.833462287e-03		
          1.296875000e+02	         -6.077360031e-03	          2.006832933e-03		
          1.312500000e+02	         -6.225371435e-03	          2.282468289e-03		
          1.328125000e+02	         -6.373677621e-03	          2.451687292e-03		
          1.343750000e+02	         -6.537947248e-03	          2.660091047e-03		
          1.359375000e+02	         -6.712468151e-03	          2.824791451e-03		
          1.375000000e+02	         -6.885582762e-03	          3.017273552e-03		
          1.390625000e+02	         -7.067167040e-03	          3.244063394e-03		
          1.406250000e+02	         -7.228547346e-03	          3.468045017e-03		
          1.421875000e+02	         -7.379720441e-03	          3.653683690e-03		
          1.437500000e+02	         -7.495541711e-03	          3.897257690e-03		
          1.453125000e+02	         -7.637889575e-03	          4.169766304e-03		
          1.468750000e+02	         -7.822860050e-03	          4.422599729e-03		
          1.484375000e+02	         -7.927589002e-03	          4.651860461e-03		
          1.500000000e+02	         -8.090096014e-03	          4.884753546e-03		
          1.515625000e+02	         -8.236585263e-03	          5.137947852e-03		
          1.531250000e+02	         -8.327818056e-03	          5.498266975e-03		
          1.546875000e+02	         -8.443143971e-03	          5.718031999e-03		
          1.562500000e+02	         -8.540938706e-03	          6.023980912e-03		
          1.578125000e+02	         -8.641580215e-03	          6.296513458e-03		
          1.593750000e+02	         -8.721127328e-03	          6.615528133e-03		
          1.609375000e+02	         -8.862713165e-03	          6.922520939e-03		
          1.625000000e+02	         -8.891073030e-03	          7.182790017e-03		
          1.640625000e+02	         -8.914700426e-03	          7.473749865e-03		
          1.656250000e+02	         -9.039258796e-03	          7.691339351e-03		
          1.671875000e+02	         -9.167457118e-03	          8.031282419e-03		
          1.687500000e+02	         -9.234468392e-03	          8.319068041e-03		
          1.703125000e+02	         -9.392475417e-03	          8.643912641e-03		
          1.718750000e+02	         -9.440584166e-03	          8.928851489e-03		
          1.734375000e+02	         -9.659836740e-03	          9.314142382e-03		
          1.750000000e+02	         -9.694638507e-03	          9.650203898e-03		
          1.765625000e+02	         -9.796946143e-03	          1.000433526e-02		
